Pointindex,X,Z,Readvalue
0,84.00 ,7.90 ,167.69288200378418
1,85.00 ,8.30 ,141.60786750793457
2,86.00 ,8.80 ,189.47390884399414
3,87.00 ,9.20 ,202.5892497253418
4,88.00 ,9.60 ,185.54939605712892
5,89.00 ,9.90 ,151.915619430542
6,90.00 ,10.30 ,181.65874908447265
7,91.00 ,10.70 ,218.44383377075195
8,92.00 ,11.00 ,167.55366722106933
9,93.00 ,11.40 ,222.9299803161621
10,94.00 ,11.70 ,206.50955352783203
11,95.00 ,12.00 ,188.35443450927735
12,96.00 ,12.30 ,182.4692810058594
13,97.00 ,12.60 ,188.7290837097168
14,98.00 ,12.90 ,210.41582138061523
15,99.00 ,13.10 ,150.0248560333252
16,100.00 ,13.40 ,194.33828201293946
17,101.00 ,13.70 ,164.45708423614502
18,102.00 ,13.90 ,218.04533004760742
19,103.00 ,14.10 ,195.03638916015626
